Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
2/28/19,100478,99901,AK,Ketchikan,Ketchikan Gateway Borough,Ketchikan,7458,286100,-0.000698568,-0.004869565,0.023613596,0.038111552,0.02309387,2018-11,2018-Q4,287500,-0.004869565,2018-11
2/28/19,100473,99835,AK,,Sitka Borough,Sitka,9024,371700,-0.008006405,-0.028743141,-0.068187516,0.016973219,0.018910394,2018-04,2018-Q2,400600,-0.072141787,2016-06
2/28/19,100459,99801,AK,Juneau,Juneau Borough,Juneau,4114,385100,-0.000519076,-0.006193548,-0.008496395,0.026556305,0.021273099,2018-09,2018-Q3,389600,-0.011550308,2018-01
2/28/19,100387,99712,AK,Fairbanks,Fairbanks North Star Borough,Fairbanks,8637,277200,-0.004667864,-0.006807596,0.014270033,0.012271775,0.006503775,2018-09,2018-Q3,280000,-0.01,2018-05
2/28/19,100384,99709,AK,Fairbanks,Fairbanks North Star Borough,Fairbanks,4604,259900,-0.004214559,-0.00877193,0.009320388,0.011135947,0.006085715,2018-09,2018-Q3,263600,-0.014036419,2018-05
2/28/19,100380,99705,AK,Fairbanks,Fairbanks North Star Borough,North Pole,5600,258500,-0.009198927,-0.02268431,-0.011850153,0.006548367,0.005583569,2018-08,2018-Q3,268200,-0.03616704,2017-09
2/28/19,100376,99701,AK,Fairbanks,Fairbanks North Star Borough,Fairbanks,6194,198000,-0.00652283,-0.014435042,-0.001009082,0.001420172,-0.001154255,2010-08,2010-Q3,206700,-0.042089985,2007-10
2/28/19,100349,99669,AK,,Kenai Peninsula Borough,Soldotna,6837,245200,-0.005273834,-0.013279678,-0.011688835,0.012969336,0.012292626,2017-10,2017-Q4,249500,-0.017234469,2017-05
2/28/19,100344,99664,AK,,Kenai Peninsula Borough,Seward,11272,225800,0,-0.002209456,0.033882784,0.020313517,0.011400912,2018-11,2018-Q4,226300,-0.002209456,2018-11
2/28/19,100334,99654,AK,Anchorage,Matanuska Susitna Borough,Tanaina,3882,280000,-0.00990099,-0.009200283,0.08653473,0.022515877,0.012947643,2018-12,2018-Q4,285300,-0.018576937,2018-11
2/28/19,100326,99645,AK,Anchorage,Matanuska Susitna Borough,Palmer,4187,274500,-0.006514658,-0.007950849,0.064366033,0.015404766,0.011269197,2018-12,2018-Q4,278100,-0.012944984,2018-11
2/28/19,422747,99623,AK,Anchorage,Matanuska Susitna Borough,Knik-Fairview,8242,249000,-0.007177033,-0.000802568,0.102257636,0.024144919,0.012551604,2018-12,2018-Q4,251900,-0.011512505,2018-11
2/28/19,100301,99615,AK,,Kodiak Island Borough,Kodiak,7692,330300,-0.00361991,-0.02422452,-0.057093919,0.029004905,0.024575852,2018-03,2018-Q1,351400,-0.060045532,2017-07
2/28/19,100297,99611,AK,,Kenai Peninsula Borough,Kenai,7419,227400,-0.004378284,-0.016435986,-0.039290241,0.013550612,0.014299795,2017-12,2017-Q4,238100,-0.044939101,2017-02
2/28/19,100289,99603,AK,,Kenai Peninsula Borough,Homer,7669,275300,-0.007212405,-0.022024867,-0.019586895,0.010880281,0.012142447,2018-10,2018-Q4,282300,-0.024796316,2016-11
2/28/19,100282,99587,AK,Anchorage,Anchorage Borough,Anchorage,13190,361500,0.008368201,0.027572484,-0.001657001,0.045278364,0.022706724,2017-10,2017-Q4,384800,-0.060550936,2016-07
2/28/19,100274,99577,AK,Anchorage,Anchorage Borough,Anchorage,4439,369000,-0.018877958,-0.056024559,-0.085275161,-0.010195488,0.008307696,2016-07,2016-Q3,410000,-0.1,2012-11
2/28/19,100265,99567,AK,Anchorage,Anchorage Borough,Anchorage,9170,394800,-0.011022044,-0.043141057,-0.064233231,0.00291282,0.013281479,2018-01,2018-Q1,424000,-0.068867925,2015-06
2/28/19,100236,99518,AK,Anchorage,Anchorage Borough,Anchorage,8575,259200,-0.003076923,-0.011064479,-0.00841622,0.009036181,0.006267864,2016-09,2016-Q3,266800,-0.028485757,2015-07
2/28/19,100235,99517,AK,Anchorage,Anchorage Borough,Anchorage,6457,311200,-0.008601465,-0.030227485,-0.023839398,0.006219792,0.008798057,2016-08,2016-Q3,325300,-0.043344605,2015-10
2/28/19,100234,99516,AK,Anchorage,Anchorage Borough,Anchorage,6397,494100,-0.003026634,-0.008826479,-0.004833837,0.01195308,0.008833806,2018-06,2018-Q2,499300,-0.01041458,2018-02
2/28/19,100233,99515,AK,Anchorage,Anchorage Borough,Anchorage,5717,372500,-0.012983572,-0.037964876,-0.047314578,0.009954963,0.013330047,2018-02,2018-Q1,391000,-0.047314578,2015-03
2/28/19,100227,99508,AK,Anchorage,Anchorage Borough,Anchorage,3053,262400,-0.004929845,-0.018331463,-0.029226785,0.003855164,0.010105206,2016-06,2016-Q2,281600,-0.068181818,2014-11
2/28/19,100226,99507,AK,Anchorage,Anchorage Borough,Anchorage,2222,318800,-0.00747198,-0.026564885,-0.036858006,0.003166625,0.007960008,2016-07,2016-Q3,335100,-0.048642196,2014-08
2/28/19,100223,99504,AK,Anchorage,Anchorage Borough,Anchorage,1700,284800,-0.008701706,-0.02931152,-0.042689076,0.004195554,0.00658788,2016-03,2016-Q1,302200,-0.057577763,2014-12
2/28/19,100222,99503,AK,Anchorage,Anchorage Borough,Anchorage,6835,256400,-0.007739938,-0.029890276,-0.040419162,0.013223309,0.00970267,2016-09,2016-Q3,268900,-0.046485682,2015-12
2/28/19,100221,99502,AK,Anchorage,Anchorage Borough,Anchorage,5033,330500,-0.006911058,-0.022767593,-0.018414018,0.0033002,0.009662154,2015-09,2015-Q3,339300,-0.02593575,2015-02
2/28/19,100220,99501,AK,Anchorage,Anchorage Borough,Anchorage,5657,261600,-0.005701254,-0.023151606,-0.034686347,0.002853003,0.008110276,2016-09,2016-Q3,275000,-0.048727273,2015-12
2/28/19,100219,99403,WA,Lewiston,Asotin County,Clarkston,5257,206200,-0.005306319,-0.024597919,0.001457018,0.07134091,0.03123809,2018-09,2018-Q3,216400,-0.047134935,2018-07
2/28/19,100218,99402,WA,Lewiston,Asotin County,Asotin,14548,234000,-0.007633588,-0.023372287,-0.015151515,0.066618792,0.025619083,2018-09,2018-Q3,245900,-0.048393656,2017-12
2/28/19,100214,99362,WA,Walla Walla,Walla Walla County,Walla Walla,1357,246500,0.000812018,0.018595041,0.113872571,0.070916907,0.028727861,2019-02,2019-Q1,246500,0,2019-02
2/28/19,100213,99361,WA,Walla Walla,Walla Walla County,Waitsburg,14688,199300,0.002515091,0.003019628,0.11903425,0.066566702,0.036096037,2019-02,2019-Q1,199300,0,2019-02
2/28/19,100208,99354,WA,Kennewick-Richland,Benton County,Richland,4617,315600,0.027678281,0.086402754,0.316096747,0.126723739,0.067390955,2019-02,2019-Q1,315600,0,2019-02
2/28/19,100206,99352,WA,Kennewick-Richland,Benton County,Richland,2037,373000,0.023038947,0.063587111,0.242091242,0.115349079,0.061736353,2019-02,2019-Q1,373000,0,2019-02
2/28/19,100205,99350,WA,Kennewick-Richland,Benton County,Prosser,7801,259100,0.026138614,0.069335534,0.28777336,0.115514528,0.064560673,2019-02,2019-Q1,259100,0,2019-02
2/28/19,100199,99344,WA,Othello,Adams County,Othello,7017,178100,-0.007799443,-0.020890599,0.019461935,0.063031214,0.031664847,2018-10,2018-Q4,182900,-0.026243849,2018-08
2/28/19,100196,99338,WA,Kennewick-Richland,Benton County,Kennewick,7098,406700,0.016495876,0.046577458,0.24297066,0.112459863,0.061220871,2019-02,2019-Q1,406700,0,2019-02
2/28/19,100195,99337,WA,Kennewick-Richland,Benton County,Kennewick,3767,322500,0.021539436,0.062252964,0.24086187,0.1282523,0.066943602,2019-02,2019-Q1,322500,0,2019-02
2/28/19,100194,99336,WA,Kennewick-Richland,Benton County,Kennewick,663,262900,0.020970874,0.063941724,0.266987952,0.130303687,0.067818945,2019-02,2019-Q1,262900,0,2019-02
2/28/19,100185,99324,WA,Walla Walla,Walla Walla County,College Place,8444,263300,0.003429878,0.023716952,0.137856525,0.080359024,0.031976357,2019-02,2019-Q1,263300,0,2019-02
2/28/19,100184,99323,WA,Walla Walla,Walla Walla County,Burbank,12748,285000,0.010996807,0.03749545,0.138178914,0.090979999,0.035329382,2019-02,2019-Q1,285000,0,2019-02
